CARACTERISTIQUES_PRINCIPALES_ID;ID_REMAX;SUPERFICIE_TERRAIN;NOMBRE_PIECES;ANNEE_CONSTRUCTION
75;17027719;0;14;2010
76;22825819;4946;9;2012
77;22688211;4150;11;2008
78;27821090;0;9;1980
79;24567421;9412;8;1985
80;27638446;48276;10;1968
81;20424250;76065;6;1960
82;28481213;5600;5;1992
83;19867455;6569;9;2017
84;25562646;43056;6;1996
85;9688835;14764;12;
86;14048581;5725;12;2018
87;20391586;0;6;1991
88;20592166;8036;10;1966
89;21050591;0;6;2008
90;10348860;28093;17;1975
91;23906629;0;6;2005
92;22508026;1833;12;2012
93;20193179;40045;20;2010
94;12639093;6200;8;1960
95;13068017;0;5;2009
96;21040246;0;7;2010
97;9178683;0;9;2008
98;28694284;198474;14;1977
99;14600164;0;7;2012
100;22872807;5002;11;1954
101;21223551;8035;12;1997
103;15499808;65455;11;2014
104;10103255;0;5;2016
105;15923519;3653;10;1850
106;12106357;0;11;
107;23573928;0;5;2001
108;16496436;3750;10;1978
109;18000194;34501;18;
110;19091698;9212;7;2012
111;11083640;0;8;1987
112;24048180;5983;10;1967
113;23054979;0;6;1996
114;17430485;7500;8;1952
115;24551060;45302;11;2003
116;24750235;2169;9;2001
117;17214946;2606;8;2014
118;27912525;2194;10;2009
119;18635892;30519;11;
120;13883834;8077;12;1985
121;15169421;0;10;1957
122;14672564;14142;12;1994
123;22717879;30600;12;1968
124;24504347;0;10;1988
125;28114114;0;5;
126;25346029;27470;5;1955
127;14424243;14600;4;
128;18541673;4623;8;2007
129;13801127;0;5;2008
130;27695312;0;8;2015
131;15739398;4204;7;
132;19433427;32299;9;1928
133;21112889;25240;10;
134;14932892;0;5;2014
135;20835389;17795;6;1967
136;18880929;3342;12;2013
137;19473963;5410;10;1994
138;23664618;5582;17;1990
139;24669182;0;7;1995
140;12903107;7535;17;2007
141;13571911;6005;12;2006
142;13187008;261958;20;2004
144;20329916;71733;22;1996
145;28575678;8127;13;1971
146;17358466;22565;14;1949
147;14343496;0;6;1922
148;13609945;3458;13;2003
149;23692670;8398;4;
150;25697169;8304;11;1965
152;20628129;60855;7;1970
153;10396930;2525;16;1900
154;25487257;8855;10;1992
155;23378298;6411;12;1986
156;19721870;4196;10;1977
157;16277466;0;6;
158;25854126;478;13;1986
159;11607572;4096;9;2015
160;26861233;5974;13;2010
161;19168526;17784;10;1900
162;13704063;6480;6;1975
163;13651583;5000;14;1991
164;22045283;13895;14;1976
165;20814596;8453;7;1978
166;28494223;0;6;2011
167;10109479;87051;12;1970
168;18524327;11666;7;
169;22359958;0;4;2006
171;27644262;0;2;
173;23161384;0;4;2014
174;27271017;971646;11;2006
175;13469831;6534;7;1983
176;15923007;3520;11;1978
177;18993519;3853;12;1978
179;11318012;12870;10;1959
180;22871949;2300;6;1945
181;17569112;0;6;2009
182;22174598;36361;5;1935
183;10358728;0;6;2011
184;25193175;6490;11;1964
185;26327498;5909;8;2003
186;25345113;0;5;2002
187;18152911;5506;11;1953
188;13251350;6304;13;2017
189;16442916;10290;13;2002
190;13077415;10115;11;1961
191;21242021;3000;10;1986
192;26294518;6176;9;2016
151;28987169;11410;7;2008
143;10311828;26952;14;1910
172;22498335;6931;9;1975
194;10152822;0;7;1987
195;27777739;11197;12;1986
196;13216164;22540;7;1960
197;25257203;0;4;2012
198;16303756;6663;12;2002
199;19201746;0;8;2015
200;20734918;20450;7;1972
201;9515501;6086;11;1985
202;21281082;0;6;
203;9844201;6681;10;1885
71;15777392;5434;8;2008
204;15793011;0;6;1987
